mons;16.41.1.220;16.41.2;
jurbipro;16.41.20.220;;
sylden;16.41.34.220;16.1.38;
sylden;16.41.34.220;16.1.44;
sylden;16.41.34.220;16.41.68;
sylden;16.41.34.220;16.41.61;
sylden;16.41.34.220;16.41.56;
sylden;16.41.34.220;16.41.38;
sylden;16.41.34.220;16.41.34;
louviere;16.41.42.220;16.41.42;
louviere;16.41.42.220;16.41.62;
louviere;16.41.42.220;16.41.70;
louviere;16.41.42.220;16.41.64;
louviere;16.41.42.220;16.41.63;
htsenne;16.41.52.220;16.41.33;
htsenne;16.41.52.220;16.41.37;
htsenne;16.41.52.220;16.41.43;
charcor;16.42.1.220;16.42.2;
charcor;16.42.1.220;16.42.3;
charcor;16.42.1.220;16.42.94;
charcor;16.42.1.220;16.42.93;
charcor;16.42.1.220;16.42.92;
charcor;16.42.1.220;16.42.91;
charcor;16.42.1.220;16.42.90;
charcor;16.42.1.220;16.42.89;
charcor;16.42.1.220;16.42.88;
charcor;16.42.1.220;16.42.87;
charcor;16.42.1.220;16.42.86;
charcor;16.42.1.220;16.42.85;
charcor;16.42.1.220;16.42.84;
charcor;16.42.1.220;16.42.83;
charcor;16.42.1.220;16.42.82;
charcor;16.42.1.220;16.42.81;
charcor;16.42.1.220;16.42.80;
charcor;16.42.1.220;16.42.19;
charcor;16.42.1.220;16.42.15;
charcor;16.42.1.220;16.42.14;
charcor;16.42.1.220;16.42.13;
charcor;16.42.1.220;16.42.12;
charcor;16.42.1.220;16.42.11;
charcor;16.42.1.220;16.42.10;
charcor;16.42.1.220;16.42.9;
charcor;16.42.1.220;16.42.7;
jumet;16.42.35.220;;
chatelet;16.42.37.220;16.2.37;
chatelet;16.42.37.220;16.42.37;
chatelet;16.42.37.220;16.42.52;
chatelet;16.42.37.220;16.42.51;
riho;11.42.38.220;11.42.28;
riho;11.42.38.220;11.42.35;
riho;11.42.38.220;11.42.60;
riho;11.42.38.220;11.42.38;
payherve;18.44.33.220;18.4.31;
payherve;18.44.33.220;18.4.37;
payherve;18.44.33.220;18.44.49;
payherve;18.44.33.220;18.44.48;
payherve;18.44.33.220;18.44.46;
payherve;18.44.33.220;18.44.44;
payherve;18.44.33.220;18.44.35;
payherve;18.44.33.220;18.44.33;
payherve;18.44.33.220;18.4.43;
